,Other,Vegan,Vegetarian,Pork
0,SundayBrunchChickenEntree,KaleSalad,GranolaCrustedFrenchToast,Bacon
1,SlicedLoxDisplay,SundayBrunchRoastVegetablePlatter,HomeFriedPotatoes,EggsanyStyle&OmeletsMadetoOrder
2,,,ScrambledEggs,PorkSausageLinks
3,,,ChocolateFountain,
4,,,ForbesSundayBrunchBar,
5,,,PancakeToppings,
6,,,BakedMacaroni&Cheese,
