,Other,Vegan,Vegetarian,Pork
0,Lunch,O'BrienPotatoes,FrenchTexasToast,Bacon
1,ChickenWingBar,GrapefruitHalf,ScrambledEggs,OmeletBarwithPorkOptions
2,TofuScampi&BroccoliRabe,,,
3,Lox&BagelBar,,,
4,TurkeySausage,,,
