,Other,Vegan,Vegetarian,Pork
0,Dinner,FreshFruitSalad,EggSalad,
1,Lox&BagelBar,GoldenBeetSalad,RoastedVegetableWrap,
2,DessertBar,KaleSaladwithTomatoes&Quinoa,,
3,,MexicanStyleQuinoaSalad,,
4,,TossedSalad&Dressings,,
5,,TofuVegetableWrap,,
6,,Hummus&Pitas,,
