,Other,Vegan,Vegetarian,Pork
0,Dinner,WhiteBean&PotatoSoup,StuffedRigatoni,
1,LambVindaloo,ChickpeasVegetables&Curry,,
2,SeitanVindaloo,CoconutBasmatiRice,,
3,RomaHouseChickenSoup,Naan,,
