,Other,Vegan,Vegetarian,Pork
0,ChickenWingBar,MoroccanLentilSoup,RedBeans&Rice,Bacon
1,ChickenGumboSoup,VeganBeanBurger,GrilledCheeseSandwich,BreakfastBurritoBarwithChorizo
2,AllBeefHotDog,BreakfastPotatoes,WaffleBar,
3,CheesesteakSandwich,MarinatedMushrooms&SpringVegetables,VegetableoftheDay,
4,CraftedBurger,Pasta&RatatouilleSalad,,
5,TurkeyBurger,Chef'sChoicePastaoftheDay,,
