,Other,Vegan,Vegetarian,Pork
0,GeneralTsoChicken,GeneralTsoChickpeas,GrilledCheeseSandwich,
1,ChickenGumboSoup,MoroccanLentilSoup,VegetableoftheDay,
2,AllBeefHotDog,VeganBeanBurger,,
3,CheesesteakSandwich,MarinatedMushrooms&SpringVegetables,,
4,CraftedBurger,Pasta&RatatouilleSalad,,
5,TurkeyBurger,Chef'sChoicePastaoftheDay,,
6,,VegetableFriedRice,,
