,Label,Serving Size,Calories,Fat,Cholesterol,Sodium,Carbs,Protein
83,HoneyMustardGlazedChicken,1each,561,29.5,236.6,335.5,11.3,59.7
84,GrilledBasilChicken,1each,158,3.3,77.1,152.8,2,28.2
85,TandooriChicken,2each,182,11.2,50.5,89.2,7.7,11.9
86,MontereyChickenSandwich,1slice,391,15.2,118.6,413.9,18,43.8
87,ChickenwithBakedLatinRice,5oz,341,15,107.3,325.7,17,32
88,HuliHuliChicken,1each,597,29.4,236.6,605.3,17.9,60.6
89,SoftChickenTaco,1each,398,13.6,108.8,801.9,26.4,41.7
90,PennewithChicken&Mushrooms,6oz,298,8.4,41.9,345.4,34.1,19.5
91,ChickenwithRoastedVegetable,1each,571,29.7,143.3,1226.7,35.7,40.6
92,TurkeyCutletCordonBlue,1each,314,11,71.1,1008.9,29.9,23.9
93,RoastChickenCreole,2each,436,24.2,174.7,416.4,7.2,45.2
94,ChickenBaconClub,1each,404,12.5,107.1,525.5,27.3,42.2
95,MangoJalapenoChicken,2each,453,27.2,182,134.6,3.5,45.9
96,BasilTurkey&BowTies,8oz,426,14,96.7,669.1,32.6,35.3
97,ChickenGiambotta,8oz,315,6.1,96.7,496.1,23.4,38.2
98,ChickenParmesan,1each,375,17,87.4,711.7,18.7,35
99,ChipotleRoastedChicken,1each,290,13.3,96.4,1330.2,4.5,35.7
100,SpicyTurkeyFettucini,8oz,382,15.4,89.9,385.5,34.7,25.6
101,MongolianChickenwVegetables,8oz,155,5.4,17.6,944.4,14,11
102,LebaneseChickenBreast,4oz,215,6.4,96.4,651.3,1.5,35.4
103,GrilledCilantroLimeChicken,1each,349,21.8,113.9,554.9,11.3,25.9
104,BasilChicken&BowtiePasta,8oz,375,12.3,32.6,556.3,52.2,11.6
105,GrilledCilantroLimeChicken,1each,241,5,96.4,138.8,10,37.3
106,GradCollegeGrilledChicken,4oz,235,8.6,96.4,84.8,1.6,35.5
107,ChickenGrilledwithPlumWine,1each,211,6.2,41.3,423.2,18.4,15
108,MediterraneanChicken,1each,567,33.6,241.9,313.4,2.8,59.6
109,ArrozConPollo,6oz,349,10.8,90,431.4,27.6,32.9
110,GeneralTsoChicken,5oz,559,34,96.4,1307.8,23.2,37.7
111,SesameChicken,5oz,275,10.1,82.6,109.8,13.3,30.2
112,BuffaloWings,6oz,396,32.4,196.3,639.4,1.1,24
113,ChickenParmesan,1each,425,26.2,87.4,630.5,11.7,33.8
114,ChickenLoMein,8oz,401,16.4,102.1,1000,25,35.3
115,SoftChickenTaco,1each,386,17.3,109.9,717,23.5,33.1
116,StuffedChickenBreast,1each,284,11.7,105.1,248.3,4.8,38
117,ChickenLoMein,8oz,598,14.5,48.2,4409.9,70.9,39.9
118,GrilledChickenBaconClub,1each,513,23,80.6,1733.9,40.9,35.9
119,ChickenCutletCordonBleu,1each,432,15.1,127.4,1108.7,29.2,43
120,GlazedChicken,1each,227,4.1,96.4,185.8,9.3,35.4
121,NapaGrilledBasilChicken,1each,192,4.1,96.4,126.8,1.1,35.3
122,KeyLimeChicken,1each,208,4.6,96.4,552.2,3.3,36.3
123,ChickenalaRocky,8oz,289,14.8,111.7,303.8,7.6,30
124,RotisserieChicken,2each,483,30.2,164,1089,14.4,36.4
125,JeffsBaltimoreChicken,6oz,637,12.3,61.1,250.1,90.9,34.5
126,MesquiteRoastedChicken,1each,258,11.3,95.3,136.2,3.4,34.4
127,LimeGrilledChicken,1each,126,5.8,41.3,203.9,2.4,14.8
128,BasilChicken&RoastPeppers,1each,228,6.1,101.7,220,4.2,35.5
129,KormaChickenwithCoconut,6oz,321,16.2,102.8,448.8,13.1,29.2
130,ChickenFajitas,1each,383,15,98,420.3,29.7,31.1
131,ChickenCoqAuVin,2each,620,30.6,236.9,720.3,17,61.5
132,Sweet&SourChickenwithRice,6oz,455,4.6,98.4,1263.3,60,40.9
133,GrilledSofritoChicken,2each,506,31.8,182,141.8,5.9,46.7
134,SouthernFriedChicken,2each,484,25.8,177.5,246,15.8,46.7
135,ChickenPotPie,8oz,596,37.4,121.9,546.2,25,34.5
136,CubanRoastChicken,1each,715,36.6,432.1,383.1,7.4,83.5
137,TuscanGrilledChicken,2each,451,25.6,182,228.2,5.8,46.4
138,ChickenMarengo,4oz,749,38.2,311.6,797.3,8.6,87.3
139,CilantroLimeChicken,1each,258,8.8,96.4,119.8,6.7,36.3
140,MesquiteRoastedChicken,1each,532,29.6,236.6,230.4,3.5,59.8
141,BlackJackChicken,1each,250,9,45.4,1203,25,16.3
142,GrilledChickenwithMushroomSauce,1each,280,13.9,95.3,264,2.9,34.4
143,ChickenBalsamicSalsaPasta,1each,446,12.4,151.6,254.3,41.6,33.8
144,Basil&RedCurryThaiChicken,4oz,282,17.5,101.5,178.8,2,28.1
145,Mom'sFirecrackerChicken,5oz,281,6.5,96.5,2518.5,11.8,39.7
146,CilantroChicken,4oz,361,22.6,96.4,160.3,0.8,35.3
147,BasilChicken,4oz,292,15.4,96.4,225.5,0.5,35.3
148,BalsamicChicken&Greens,1each,264,9.7,96.4,87.5,5.5,35.2
149,ChickenCutlet,4oz,423,7.1,165.4,908.3,49.5,38.1
150,GrilledChicken,1each,187,4,96.4,83.9,0,35.2
151,ChickenCapers&Mushrooms,4oz,262,13.5,106.9,184,4.4,29.3
152,OrangeChicken,4oz,347,12.9,66.2,231.4,30.6,24.7
153,ChickenNuggetsBar,6each,579,39.9,62.3,1577.9,36.2,19.4
154,IslandRoastedChicken,1each,257,13,75.9,757.7,16,17.3
155,ChickenSaltimboccawithPork,4oz,434,27,117.1,487.8,8.7,37.7
156,ChickenChowMein,4oz,405,17.2,70.2,4357.6,24.3,39.5
157,ChickenSaltimboccawithPork,4oz,425,23.9,123.4,376.5,10.5,39.4
158,ChickenTendersBar,6each,340,10.9,107.1,542.1,18.6,39.7
159,GarlicRoastedChicken,2each,424,23.8,182,137.9,3.6,46.2
160,ChickeninWhiskeySauce,6oz,320,15.5,111.1,138.3,2.3,36.6
161,ChickenEnchilada,1each,986,49.2,163.9,2693,80.2,56.2
162,LatinStewedChicken,7oz,215,7.8,68.6,330.8,14.4,21
163,RoastedCorn&ChickenCake,4oz,202,9,32.1,1021,15.3,16.6
164,ChickenSorrentinowithPork,4oz,323,12.3,83.3,571,18.5,33.3
165,ChickenScampi,4oz,456,23.2,212.5,317.2,17.1,40.7
166,ChickenTetrazzini,6oz,325,16.8,82.5,479.4,16.4,24.6
167,AlabamaChicken,6oz,804,74.2,134.9,1048.3,11.2,21.7
168,Chicken&Broccoli,4oz,169,6.5,50,154.2,8.5,19
169,ChickenPicodeGalo,6oz,238,8.9,95.3,95.5,3.7,34.1
170,BBQChickenThigh,1each,127,5.8,75.6,229.7,3.3,14.7
171,ChickenPiccata,4oz,224,6.3,101.3,182.6,3.7,35.7
172,Hot&SpicyBBQChicken,1each,613,35.7,230.7,653.1,16.2,53.6
173,Chicken&Biscuits,7oz,505,26.6,135,479.1,32.2,33
174,ChickenCutletCordonBleu,1each,503,17.2,160.6,711.6,30.3,53.9
175,SouthernFriedChicken,2each,532,23.5,183.8,412.7,28.9,52.4
176,ChickenwithPeppers&Tomato,4oz,287,4.7,96.4,471.4,20.4,38.3
177,ChickenwithMapleVinegarGlaze,1each,389,20.6,96.2,4776.8,33.2,17.6
178,Lover'sChicken,8oz,345,26.3,52.3,759.2,5.8,20.5
179,BBQChicken,1each,348,20,113.9,596.6,15.3,25.7
180,PaellaValencianawithPork,10oz,715,25.2,176.9,858.9,59.6,57.5
181,"Chicken,Ham&ShrimpJambalaya",6oz,504,19.3,159.8,733.1,35.2,44.6
182,AsadoMixedGrill,1skewer,961,68.5,233.2,1998.4,9.3,72.5
