,Label,Serving Size,Calories,Fat,Cholesterol,Sodium,Carbs,Protein
1515,DessertBar,1slice,5,0.2,---,4.9,0.6,0.1
1516,Fruit&CheeseTable,4oz,216,14.7,53.5,373.3,9.6,12.3
1517,Churros,4oz,105,4.5,11.4,118.2,14.5,0.9
1518,PotatoChips,1each,154,10.3,0,136.1,14.4,1.9
1519,PotatoChips,1oz,162,10.1,0,182.3,14.2,2
1520,Pretzels,1oz,108,1,0,486.2,22.5,2.6
1521,TortillaChip,1oz,139,6.6,0,119.4,18.6,2.2
1522,PretzelsNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1523,ChipsAhoy,1svg,194,9.1,0,135.7,27.2,2.6
1524,GoldfishCrackers,1oz,133,5.7,9.5,189.3,17.9,3.8
1525,NutsMixedwithPeanuts,1oz,168,14.6,0,3.4,7.2,4.9
1526,NutsMixedwithoutPeanuts,1oz,174,15.9,0,198.5,6.3,4.4
1527,PeanutsBulk,1oz,166,14.1,0,1.7,6.1,6.7
1528,WhiteBucketforTables,1each,0,0,0,0,0,0
1529,GoldfishPretzels,1oz,113,2.4,0,406.3,20.8,2.8
1530,TerraChipsBulk,1oz,152,9.1,0,35.4,17.2,1
1531,SnackBarMix,1oz,113,2.4,0,406.3,20.8,2.8
1532,SaltineCrackers,1each,25,1,0,80,4,0.6
1533,TigerCookieTeddyGraham,1each,157,4.8,0,169.9,26.5,1.8
1534,TriColorTortillaChips,4oz,555,26.5,0,477.4,74.3,8.8
1535,SlicedMelons,1slice,38,0.2,0,18.7,9.5,0.7
1536,GrapefruitHalf,1half,52,0.2,0,0,13.1,0.9
1537,FreshStrawberries&Sugar,4oz,45,0.3,0,1.2,11.1,0.8
1538,Grapes,4oz,82,0.4,0,2.4,20.9,0.8
1539,Banana,1each,81,0.3,0,0.9,20.7,1
1540,FreshStrawberries,4oz,36,0.3,0,1.1,8.7,0.8
1541,Apples,1each,66,0.2,0,1.3,17.5,0.3
1542,Oranges,1each,69,0.2,0,1.4,17.6,1.3
1543,Pears,1each,96,0.2,0,1.7,25.7,0.6
1544,AssortedFreshFruits,1each,112,0.4,0,1.6,29,1.4
1545,SlicedMelons&Strawberries,4oz,89,0.5,0,37.8,21.9,1.7
1546,FreshPineappleSlices,4oz,72,0.2,0,1.4,19,0.8
1547,SeasonalFruit,1each,66,0.2,0,1.3,17.5,0.3
1548,ChocolateDippedStrawberries,3oz,180,9.4,0,19.2,24.7,2.5
1549,FreshStrawberries&Sugar,4oz,47,0.3,0,1.2,11.2,0.8
1550,SeasonalFruitDisplay,1each,100,0.6,0,20.8,24.9,2.1
1551,AllspiceAppleButter,2oz,96,0.1,0,5.9,24.8,0.2
1552,FreshPineappleSlices,4oz,57,0.1,0,1.1,14.8,0.6
1553,AppleWalnutCompote,2oz,109,6.3,0,3.3,13.5,1.6
1554,BourbonPeaches,2oz,121,0,0,0.6,28.2,0.6
1555,ChocolateFountainBar,1svg,693,34.8,0.5,22.1,105.8,5.1
1556,FruitSalad,4oz,58,0,0,14.5,15.7,0
1557,FrtSaladinWatermelonBoat,4oz,107,0.2,0,16.6,28.2,0.8
1558,FruitSaladNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1559,AssortedFreshFruit,1each,78,0.3,0,2.9,19.7,1.3
1560,Watermelon,8oz,58,0.2,0,4,14.5,1.1
1561,FruitSaladwithStrawberries,4oz,61,0,0,14.6,16.4,0.1
1562,CitrusSections,4oz,67,0.4,0,0.5,17.1,0.6
1563,FiestaFruitSalad,4oz,88,0.4,0,20.1,22.2,1.3
1564,FruitSalad&Strawberries,4oz,67,0.1,0,14.8,17.9,0.2
1565,FruitSalad&CitrusSections,4oz,80,0.1,0,14.7,21.2,0.2
1566,FreshFruitSalad,4oz,91,0.5,0,27.9,22.7,1.6
1567,MelonChunks,4oz,38,0.2,0,18.7,9.5,0.7
1568,FreshBerries,4oz,50,0.4,0,1.1,12.6,0.8
1569,StewedPrunes,4oz,272,0.4,0,2.3,72.4,2.5
1570,SlicedPineapple,4oz,68,0.1,0,1.1,17.8,0.5
1571,ApricotHalves,4oz,71,0.1,0,4.5,18.7,0.6
1572,Applesauce,4oz,80,0.2,0,2.4,20.6,0.2
1573,SlicedPeaches,4oz,48,0.1,0,5.7,12.6,0.5
1574,PearHalves,4oz,57,0.1,0,4.5,14.7,0.4
1575,PineappleChunks,4oz,68,0.1,0,1.1,17.8,0.5
1576,FruitCocktail,4oz,36,0.1,0,4.5,9.7,0.5
1577,SourdoughBread,2slice,281,1.8,0,498.6,54.9,11.4
1578,RyeBread,2slice,195,2.5,0,499,36.5,6.4
1579,Baguette,1slice,85,1,0,184,16.4,3
1580,MarbleRye,2slice,5,0.1,0,11.6,0.8,0.1
1581,WhiteBread,1slice,60,0.7,0,111.4,11.1,2.1
1582,WholeWheat,2slice,240,2.7,0,360.2,42.7,10.7
1583,PumpernickelBread,2slice,213,2.6,0,570.7,40.4,7.4
1584,PitaBread,1each,160,0,0,160,33,7
1585,ItalianBread,1slice,48,0.6,0,105,9.3,1.8
1586,MiniTorpedoRolls,1each,149,1.9,0,326.3,28.9,5.6
1587,FrenchBread,1slice,40,0.5,0,87.5,7.8,1.5
1588,PitaBread,1each,165,0.7,0,321.6,33.4,5.5
1589,ChallahBread,1slice,55,1,2.5,94.5,9.5,2
1590,SesameSeededRoll,1each,120,2.5,0,220,21,5
1591,HotDogRoll,1each,113,1.4,0,240.8,22,3.7
1592,ParkerRolls,1each,154,3.8,9.6,230.8,25,3.8
1593,WhiteBread,1slice,45,0.5,0,100.4,8,1.5
1594,WheatBread,1slice,64,0.7,0,96.5,11.4,2.9
1595,RyeBread,1slice,70,0.5,0,70.3,13.1,3
1596,MultiGrainBread,1slice,45,0.6,0,56.5,8.3,1.5
1597,BriocheRoll,1each,143,3.6,4,159.3,23.1,4.8
1598,KaiserRolls,1each,147,2.2,0,272,26.4,5
1599,Croissants,1each,210,12,10,280,21,4
1600,Matzoh,1oz,112,0.4,0,0,23.7,2.8
1601,"FlourTortilla6""",1each,110,2,0,120,20.5,3
1602,DinnerRollAsst,1each,154,3.8,9.6,230.8,25,3.8
1603,AssortedBreads,1slice,15,0.2,0,32.7,2.9,0.5
1604,SpolletiniRollNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1605,BreadStationNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1606,FlourTortilla,1each,60,1.7,0,18.5,9,2.8
1607,RusticArtisanalBreadDisplay,1svg,47,0.6,0,120.9,8.8,1.6
1608,AssortedDanishNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1609,AssortedPastries&Candies,1each,248,11.3,1.2,192.4,32.8,3.6
1610,ForbesSundayBrunchBar,1each,534,30,55.6,699.4,50.4,17.6
1611,AssortedPastries,1each,76,2.1,0,131.3,12.6,2.1
1612,Bagels,1each,182,1.2,0,367.1,35.9,7.1
1613,Lox&BagelBar,1each,329,11.1,36,1583.1,38.5,19.1
1614,PumpernickleBagel,1each,270,2,---,420,56,10
1615,CreamCheese&BagelBar,1each,164,5,12.6,286.7,24.7,5.6
1616,GradCollegeSundayBagelBar,1each,349,12.5,59.1,480.6,38.5,21
1617,AssortedDonuts,1each,270,15,0,360,33,3
1618,DunkinDonutHoles,3each,200,10,0,250,27,2
1619,Donuts,1each,255,13.3,0,340,32.8,3
1620,SourCream,1oz,55,5.6,14.7,22.7,0.8,0.6
1621,TartarSauce,2oz,229,24.8,27.4,256.7,0.8,0.4
1622,CocktailSauce,1oz,39,1.6,3.2,289.4,5.8,0.7
1623,LemonWedges,1each,3,0,0,0.4,1.4,0.2
1624,CranberrySauce,2oz,86,0,0,16.9,22.1,0.1
1625,CreamCheese,1oz,95,9.5,28.4,94.5,1.9,1.9
1626,SpringPicnicCondiments,2ozl,216,16.3,14,746,16.9,0.7
1627,StirFryCondiments,2ozl,40,0,0,2030.8,4.4,4.4
1628,PickleChips,2oz,10,0.1,0,726.7,2.3,0.4
1629,SoftTacoAccompaniment,1each,76,6,17.3,126,2.9,3.1
1630,"Tomato,Lettuce,Onions&PickleTray",4oz,19,0.2,0,411.1,4.2,0.8
1631,"Tomato,RedOnion,Lettuce,PickleChips",4oz,17,0.1,0,294.5,3.7,0.7
1632,SlicedTomatoPlatter,2oz,11,0.1,0,3.2,2.5,0.6
1633,Onion&PickleSpears&ChipsforHoagies,2oz,11,0.1,0,407.3,2.5,0.4
1634,LettuceTomato&Onion,4oz,12,0.1,0,3.8,2.7,0.6
1635,AssortedMustards,1oz,19,0.9,0,198.7,0,0
1636,ChiliSpicedPumpkinSeeds,2oz,339,29,0,49,9.5,17.2
1637,CurriedSpicedPumpkinSeeds,2oz,340,28.9,0,11.4,9.7,17.2
1638,Salt&PepperPumpkinSeeds,2oz,341,28.6,0,1143.4,9.8,17.4
1639,Jam&JellyPC,1each,35,0,0,0,9,0
1640,Butter,1each,359,40.6,107.5,357,0,0.4
1641,Margarine,1each,25,2.5,0,30,0,0
1642,CreamCheesePC,1each,95,9.5,28.4,94.5,0.9,1.9
1643,LightCreamCheese,1each,30,0.3,3.4,199,2.2,4.4
1644,SugarPacket,1each,11,0,0,0,2.8,0
1645,SugarSubstituteIndivPackets,1each,4,0,---,0,1,0
1646,RelishPC,1each,12,0,0,73,3.2,0
1647,Half&HalfCreamers,1each,20,1.7,5.6,6.2,0.6,0.4
1648,KetchupPC,1each,9,0,0,100.3,2.3,0.2
1649,MustardPC,1each,4,0.2,0,63.5,0.4,0.2
1650,MayonnaisePC,1each,80,9,---,65,0,0
1651,DeliMustards,1oz,38,2,0.2,367.5,1.7,0.9
1652,HoagieDressing,1/4oz,49,5.4,---,29.6,0.2,0
1653,PeanutButter,1each,133,10.6,0,79.7,4.7,4.7
1654,AssortedJelly&Jam,1/2oz,32,0,0,4.9,9.8,0
1655,MintJelly,1/2oz,36,0,0,4.1,9.5,0
1656,ItalianDressingPCNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1657,Guacamole,1oz,45,4.2,0,42.8,2.1,0.6
1658,PicnicChili,4oz,117,9.7,29.7,154.6,1.4,6.2
1659,RoastedGarlicAioli,1oz,203,22,20,150.3,0.6,0.1
1660,JellyButter&Margarine,1each,619,64.6,161.3,580.5,11.3,0.6
1661,Butter&Margarine,1each,275,31,80.6,275.3,0,0.3
1662,JellyButterMarg&CreamCheese,1each,337,34.2,90.2,323.8,7.3,1.3
1663,StirFryDinnerAccompaniments,1oz,224,9,12.4,292.8,33.9,3.5
1664,BuffaloMayonnaise,1oz,200,22,20,243.1,0.1,0
1665,Salsa,2oz,25,0,0,404.5,5.1,0
1666,StrawberryJelly,1each,39,0,0,4.5,9.8,0.1
1667,LocalJelly&Jams,1oz,70,0,0,5.3,18.5,0
1668,LocalJerseyHoney,1oz,86,0,0,1.1,23.4,0.1
1669,OrangeJuice,1btl,0,0,0,0,51.3,3.9
1670,CranberryJuice,1btl,200,0,0,10,49,0
1671,CitrusSpaWater,1oz,4,0,0,1.1,1.4,0.1
1672,AppleJuiceNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1673,HardBoiledEggs,1each,88,6,211.5,70.3,0.6,7.1
1674,LocalSweetCreamButter,1oz,203,22.3,60.8,0,0,0
1675,LocalCheeseDisplay,2oz,189,15.7,56.7,356.6,0.3,11.8
1676,Bacon,3slice,327,27.9,48.2,584,0.3,17.3
1677,RussetPotato&VegetableHash,4oz,114,4.8,0,73.9,16.9,1.5
1678,SlicedTomatoPlatter,2oz,37,1.2,33.8,152,5,2.2
1679,ChickenAppleSausage,4oz,187,10.7,73.4,773.8,1.3,21.3
1680,CucumberInfusedSpaWater,1oz,2,0,0,1.4,0.5,0.2
1681,StrawberryMelonSpaWater,1oz,16,0.1,0,7.9,3.8,0.3
1682,LocalPeaches&Apples,1each,53,0.1,0,0.6,13.8,0.7
1683,CannedSoda,1each,0,0,0,0,0,0
1684,FruitPunch,8oz,18,0,0,5.8,4.5,0.1
1685,LemonadeGott,8oz,17,0,0,4.3,3.9,0.1
1686,OrangeJuice,8oz,24,0,0,5.7,5.8,0.2
1687,CranberryJuice,8oz,28,0,0,7.7,0.8,0
1688,WholeMilkHpt,1each,145,7.7,23.7,101.9,11.4,7.5
1689,SkimMilkHpt,1each,81,0.2,4.7,99.5,11.8,8
1690,ChocolateMilk,4oz,98,4,14.2,71.1,12.3,3.8
1691,IcedTea,8oz,0,0,0,5.1,0,0
1692,JuiceHpts,1each,0,0,0,0,0,0
1693,MaiTaiPunch,8oz,24,0,0,7.4,6.1,0.2
1694,V-8Juice,6oz,0,0,0,459.2,7.4,0.7
1695,AppleJuice,8oz,119,0,---,9.9,28.7,1
1696,LowfatMilk,1each,119,4.7,19,111.4,11.4,7.8
1697,1LiterPrincetonLogoWater,1each,0,0,0,0,0,0
1698,1LiterPolandSpringsWater,1each,0,0,0,8.4,0,0
1699,IcedWaterinGottReunions,16ozl,0,0,0,0,0,0
1700,IcedTeawithLemon&Mint,8oz,8,0.1,0,9.2,3.9,0.5
1701,PrincetonPhotoWater12ozNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1702,BananaBerrySmoothie,4ozl,64,0.1,0,0.5,16.5,0.2
1703,OrangeJuice,8oz,120,0,0,0,29,1
1704,ForbesSmoothieDuJour,1cup,166,0.7,2.8,40.6,38.2,3
1705,IcedTea,8oz,9,0,0,6.2,3.1,0.2
1706,FruitSmoothies,1cup,104,0.8,2.8,40.8,22.6,3.4
1707,Milk-Whole,4oz,72,3.9,11.9,51,5.7,3.7
1708,Milk-LowFat,4oz,59,2.3,9.5,55.6,5.7,3.9
1709,Milk-Skim,4oz,40,0.1,2.4,49.8,5.9,4
1710,CranberryJuice,8oz,146,0,0,10.4,4.2,0
1711,RiceDreamOriginal,8oz,120,2.5,0,80,23,1
1712,RiceDreamVanilla,8oz,130,2.5,0,80,26,1
1713,SoyMilkPlain,8oz,99,4,0,118.5,7.9,6.9
1714,Lemonade,8oz,110,0,0,0,26,0.9
1715,FruitPunch,8oz,120,0,---,10,30,0.9
1716,NaturalFive,8oz,130,0,---,0,31,0.9
1717,PassoGuava,8oz,110,0,---,25,27,0.9
1718,SweetTea,8oz,81,0,0,7.1,21.5,0.1
1719,JuicesCostBasis,4oz,64,0,0,3.4,10.3,0.3
1720,ChocolateMilk-LowFat,4oz,90,2.2,9.5,78,14.3,3.5
1721,FreshWatermelonandBlueberrySmoothie,4ozl,199,1,1.8,37.1,47.7,5.1
1722,CoffeeFreezeDried,8oz,0,0,0,7.1,0,0
1723,"Coffee,Decaf,Tea",8oz,0,0,0,7.6,0,0
1724,DecafCoffee,8oz,0,0,0,7.4,0,0
1725,Teabags&DecafPackets,1each,2,0,0,0.3,0.4,0.1
1726,HotWater,8oz,0,0,0,7.1,0,0
1727,WatermelonAguaFresca,4oz,45,0.2,0,4.8,11.5,0.9
1728,MangoAguaFresca,4oz,31,0.2,0,3.2,7.8,0.4
1729,OpenFaceTurkeyCroissant,1each,278,13.1,66.7,287.6,13.2,25.4
1730,ChickenParmesanSandwich,1each,646,33.9,87.3,1547.6,54.6,30.6
1731,ChickenPattySandwich,1each,533,26.3,71,1000.5,50.1,24.1
1732,CheesesteakSandwich,1each,379,21.6,58.3,535.9,26.1,17.9
1733,SteakSandwich,1each,389,22.2,58.9,310.1,25.5,19
1734,Cheeseburgers,1each,486,26.2,105.7,797.5,30,31
1735,GrilledPastrami&SwissCheese,1half,248,11,52.8,679.7,19.2,17.2
1736,Hamburgers,1each,457,22.2,103.2,345.1,29,33.2
1737,AllBeefHotDog,1each,300,18.2,30.1,887.2,24.3,10.1
1738,FriedFishSandwich,1each,294,7.1,36,568.4,41.3,17.4
1739,Sausage&PepperSandwich,1each,412,21.5,40.7,1190.5,35.6,19.8
1740,Ham&SwissCroissant,1each,378,21.7,48.2,1172.8,23.7,21.4
1741,IvyLeaguer,1half,403,16.8,73,944.7,30.7,31.1
1742,ChickenBurger,1each,433,15.5,73.7,1476.3,41.3,32.3
1743,VegetableBriocheSandwich,1each,313,18.1,28.9,344.1,27.7,10.7
1744,VeganVeggieBurger,1each,370,6.5,0,1400,67,10
1745,GardenBurger,1each,370,6.5,0,1400,67,10
1746,GrilledCheeseSandwich,1each,353,12.5,30.3,951.2,45.6,13.8
1747,BlackBeanBurger,1each,291,5.2,0,724.8,43.1,17.4
1748,RoastedVegetableBaguette,1slice,99,1.1,0,187.5,19.4,3.7
1749,AssortedWraps,1each,255,6.9,1.7,566.7,40.5,6.9
1750,Ham&SwissonBaguette,1each,155,10.6,27.4,590.9,4,10.8
1751,ColdChicken&JackSandwich,1each,325,13.4,73.2,937.2,27.9,32.9
1752,TurkeyHoagie,1slice,201,3.8,60.8,899.4,11.8,28.9
1753,TunaHoagie,1slice,327,23.3,54.2,813.7,11.7,17.1
1754,Turkey&ProvoloneBaguette,1slice,230,8.6,41.6,726.7,17.6,20.3
1755,ItalianHoagie,1slice,471,29.1,106.6,1980,13.9,38.3
1756,Ham&SwissKaiser,1each,298,11.2,33.7,861,29.7,19.2
1757,ItalianWrapwithHam,1half,373,18.8,54,1376.4,28.8,23.2
1758,TofuVegetableWrap,1half,192,6.5,2.5,405,28.3,6.6
1759,TurkeyBaconClubWrap,1half,373,20.8,44.8,1003.9,26,18.5
1760,Turkey&SwissonBaguette,1slice,312,14.7,59.7,717.5,20.1,24
1761,ChickenPestoSandwich,1slice,370,17.8,25.1,672.1,36.5,17.1
1762,BabyCarrots,1each,7,0,0,7.4,1.5,0.2
1763,RoastBeef&ProvoloneWrap,1each,802,35.6,148.6,1512.9,56.2,60.5
1764,ChickenCaesarWrap,1each,600,23.9,101.4,923.5,52.2,44.7
1765,SouthwestTurkeyWrap,1half,244,12.3,52.5,527.6,13.3,19.7
1766,ItalianHoagie,1slice,387,20.6,65.1,2293.1,18.2,32.4
1767,Turkey&ProvoloneFocaccia,1slice,104,5.4,20.8,325.9,4.2,9.4
1768,TurkeyHoagie,1slice,174,3.2,50.6,761.7,11.1,24.2
1769,GrilledVegetableHoagie,1slice,54,1,0,65.5,10.1,2.4
1770,PeanutButter&Jelly,1each,499,18.1,0,593.3,71.6,15.9
1771,CheeseSandwich,1each,451,20.9,56.7,1392.9,46.6,18.6
1772,ThreeCheeseHoagie,1slice,502,34.5,102.3,1405.6,20.8,28.6
1773,ItalianHoagie,1Slice,165,9.9,38.8,835.9,4.9,14.3
1774,BBQChickenWrap,1each,305,13.6,42.4,659.6,28,18.4
1775,TurkeyHoagie,1Slice,83,1.7,30.4,407.7,2.4,13.7
1776,RoastBeefHoagie,1slice,417,16.1,136.9,426,17.5,48.7
1777,TunaHero,1Slice,172,11.2,39.9,351.1,3.3,13.8
1778,DeliTray,6oz,294,15.1,101.5,986.2,3.4,34.5
1779,DeliBar,6oz,652,26.4,121.2,1768.5,48.5,54.8
1780,GrilledVegetableHoagie,1slice,46,1.5,0,53,7.5,1.5
1781,RoastedVegetableonaCiabattaRoll,1each,281,2.2,0,577.9,54.1,12.2
1782,Ham&SwissMultiGrainRoll,1each,413,13.4,57.7,1223,43.8,27.6
1783,ClassDayTurkeyCroissant,1each,411,19,93.5,1469,39.3,22.8
1784,Ham&SwissCroissant,1each,499,29.4,106.4,1011,38.5,23.8
1785,RoastedTurkeyMultiGrainRoll,1each,318,3.6,44.3,1393.8,44,25
1786,PeanutButter&JellyNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1787,GrilledCheeseSandwich,1each,310,17,55,1000,22,16
1788,RoastedTurkeyonWhiteBread,1each,274,4.5,53.2,969.4,27.8,28.2
1789,RoastBeef&SwissCroissant,1each,534,29.1,118.2,528,26.2,39.5
1790,TurkeyHoagie,1slice,193,3.7,60.8,891.5,10.1,28.4
1791,AmericanHoagieHam&Cheese,1slice,448,34.5,58.8,1553.2,17.4,16.7
1792,BistroBeefHero,1Slice,317,16.8,111.5,266.1,6.1,33.4
1793,ColdChicken&JackSandwich,1each,406,15.3,121.6,594.4,26.9,47.8
1794,BBQChickenWrap,1each,346,17.6,50.9,501.7,28.8,18.5
1795,TurkeyHoagie,1slice,372,6.5,91.1,1493.3,31.3,45.9
1796,PastaBarwithBowties&Linguini,8oz,623,5.1,9.8,119.2,115.8,22.9
1797,PastaBar,8oz,912,6.7,9.8,113.4,171.4,32.2
1798,BuffaloWings,6oz,332,26.1,177.4,577.9,0.3,22.8
1799,PotatoBarFixings,1each,207,15.1,36.2,863.7,9.4,8.4
1800,SundaeBar,1each,343,15.2,57.7,167.2,58.9,4.5
1801,ChiliBarSides,4oz,121,9.8,29.7,171.1,2.1,6.4
1802,FajitaBar,1each,145,11.6,34.6,217.7,3.6,6.7
1803,ChickenWingBar,6oz,408,29.5,210,821.3,5,30
1804,HotDogBar,8oz,402,19.7,46.6,1145.2,37.9,20.4
1805,ShrimpFajitasSelfServeBar,6oz,286,10.5,67.8,397.8,34,14.5
1806,SoupBarBuildYourOwnSoup,1each,234,4.6,41.5,362.9,36,12.1
1807,TopYourOwnCrepe,2each,619,28,87.6,288.8,81.7,5.1
1808,AssortedPie&IceCream,1each,473,22.1,57.6,304.5,61.4,5.7
1809,NachosBar,1each,299,14.8,4.7,635,37.8,4.5
1810,Cookies&Cream,1each,429,20.2,69.6,187.3,55,5.8
1811,IceCream&FrozenYogurt,1each,605,22.9,61.4,314.8,104.7,8.1
1812,TacoBar,1each,593,31,105.4,1731.7,43.7,33.6
1813,StandardBagelBar,1each,699,51.5,140.3,1080.2,45.9,15.2
1814,PremiumBagelBar,1each,781,61,166.8,1563.7,42.8,17.5
1815,HotDogBreak,1each,776,45.8,41.3,1706.6,69.5,19.2
1816,FondueBreak,4oz,703,33.5,60.3,309.8,100.7,8.8
1817,MakeYourOwnHoagie,1each,771,48.7,121.6,2480.4,34.6,44.2
1818,HoagieBar,1each,199,11.9,42.9,675.6,8.9,14.5
1819,ChickenNugget,6each,486,29.7,56.5,1589.7,37.6,16.5
1820,PastaBar,8oz,492,7.9,22.2,359.9,80.4,20.6
1821,EggRollBreak,1each,138,4.5,0,675.1,23.8,5
1822,Milk&LargeCookie,1each,111,3.8,16.1,109,11.5,7.9
1823,AssortedCupcakes,2each,513,24.4,59.4,353.8,69.8,4
1824,HotPretzels,1each,155,1.3,1.1,611.8,32.1,3.9
1825,Nacho&ChiliBar,6oz,286,13.9,19.1,611.5,30.9,9.6
1826,PommesFritesBar,8oz,297,16,16.4,1105.5,31.9,5.8
1827,CakewithToppings,4oz,178,7.9,22.6,127.7,25.6,1.6
1828,DessertCrisps,4oz,262,5.3,5,63.6,39.6,1.5
1829,Rice&NoodleBar,8oz,296,2.8,20.9,638.8,53.9,13.2
1830,Fish&ChipsBar,8oz,407,18.7,112.2,548.5,27.7,32.9
1831,DimSumBar,3each,4367,85.7,174.6,13755.8,626.8,242.9
1832,TriColorHummusBar,4oz,338,16.2,0,225.4,37,13.6
1833,OatmealBar,8oz,253,2.6,0,222,55.6,4.7
1834,CornbreadBar,1slice,42,3.4,9.7,20.6,2.2,0.8
1835,BakedPotatoBar,1half,285,17.1,48.8,444.9,20.3,12.9
1836,PastaBar,8oz,106,0.5,0,0,20.7,3.5
1837,TofuPups,1each,194,4.8,0,429.8,24.7,14.5
1838,CornDogs,1each,237,15.8,19.7,736.8,19.7,5.3
1839,ChickenTenders,4each,212,5.3,103.2,89.6,0.6,37.9
1840,DimSumBar,3each,14,0,0,891.1,1.1,1.9
1841,ShrimpPotsticker,3each,2188,50.8,0.3,7742.5,304.4,147
1842,ChickenPotsticker,3each,2173,34.9,170.3,7757.7,319.2,97.9
1843,VegetablePotsticker,3each,313,5.1,21.5,2625.3,44,16
1844,FixingsBar,2oz,140,10.5,28.1,457.3,4.1,7.6
1845,CaramelApples&ChocolateStation,1each,403,7.7,0.6,266.3,87.7,2.7
1846,CottonCandy,1bag,114,0,0,0,28.4,0
1847,CaramelApples,1each,66,1.1,0.8,27.7,14.6,0.6
1848,OatmealBar,6oz,133,1.9,0,142.5,27.4,3.1
1849,HotDogBar,8oz,596,43.4,110,1637.7,23.8,26.1
1850,BruschettaBar,6oz,237,11.3,1.6,431.6,26.7,6.8
1851,BruschettaSalad,2oz,88,5.3,0,41,6.6,1.9
1852,OliveTapenade,2oz,133,8.9,2.4,451.7,11.2,3.7
1853,Croutons,2oz,120,1.5,0,262.5,23.3,4.5
1854,FococciaBread,1oz,70,1.6,0,59.3,11,2.3
1855,TacoBarFillings&Shells,1each,365,19.3,44.6,750,34.1,14.5
1856,NachoBar,4oz,28,2.8,4.2,18.7,0.8,0.3
1857,NachoCheeseSauce,2oz,79,5.6,16.5,264.6,4.1,3.2
1858,SalsaConQueso,2oz,81,4.5,0,438.2,8.1,1.3
1859,FreshSalsa,2oz,28,1.7,0,3,2.9,0.6
1860,GyroBarPita&Fillings,2oz,110,2.1,8.4,189.3,17.9,5.1
1861,FajitaBar,1each,167,14.8,30.9,336.2,2.9,6.2
1862,PitaChipswithredPepper&TraditionalHummus,4oz,213,12.2,0,164.3,20.3,7.7
1863,GrilledPolentaCakewithPeppers&Arugula,3oz,202,9.9,0,153.3,27.9,3.1
1864,CheeseSteakBar,1each,615,37.4,88.3,1192.7,39.8,28.5
1865,QuesadillaBar,1each,493,27.1,97.3,965.5,28.9,33.4
1866,PommesFritesBar,8oz,155,8.2,20.2,153.3,16.7,4.6
1867,MakeyourownHoagieBar,1each,302,14.5,53.4,1025.4,20.3,21.4
1868,VeganGyroFilling,2oz,90,5.2,0,172.1,8.8,2.5
1869,GyroBeefFilling,2oz,206,15.4,47.1,48.3,0.7,14.8
1870,Orecchiette&Linguini,4oz,400,1.9,0,0,78.6,13.4
1871,VarietyofLocalPastas&HomemadeSauces,8oz,502,6.7,11.9,341.3,87.5,19
1872,PretzelRivetsNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
1873,BakedPotatoBar,1each,356,17.9,49.3,199.2,40.9,9.2
1874,KoreanWings,6oz,447,29.2,165.1,4046.8,11,32.4
1875,ChickenWingBar,6oz,483,34.3,237.5,1495.7,6.8,35.4
1876,BlueberryPancakes,2each,243,4.4,1.9,753.1,45.8,6.5
1877,PancakeToppings,1each,117,2.2,0,26.1,25.8,0.3
1878,RaisinFrenchToast,2slice,184,11.8,175.1,78.8,46.3,11.3
1879,BananaPancakes,2each,251,4.3,1.9,753.1,48.2,6.6
1880,ButtermilkPancakes,2each,231,4.2,1.9,752.9,43,6.4
1881,FrenchTexasToast,1slice,321,7.4,82.8,598.5,52.8,10.6
1882,FrenchToastSticks,3each,309,19.7,19.3,521.2,30.9,4.8
1883,GranolaCrustedFrenchToast,1slice,346,8.1,79.5,592.7,57.6,11
1884,Sausage&CheeseMuffin,1each,354,20.1,58.4,993.3,26,16.3
1885,FrenchToast,2slice,322,6,94.9,398.6,52.4,14.3
1886,ApplePancakes,2each,276,8.5,1.9,753.1,45,6.4
1887,MiniCroissant,1each,109,5.5,0,74.6,12.4,2.5
1888,CottageCheese,4oz,111,4.9,19.3,412.8,3.8,12.6
1889,CremeBruleeFrenchToast,1half,593,33.4,152.2,604,63.6,10.1
1890,Steak&EggCasserole,1slice,378,29.5,353.1,432.2,2.9,25.6
1891,FrenchToast,1slice,584,33.7,292.3,203,62.6,10.4
1892,GrandMarnierFrenchToast,1slice,390,12.3,228.3,520.2,54.7,15.5
1893,BlackBeanFajitas,6oz,397,18.6,29.8,614.5,41.9,15.6
1894,VegetarianPastaCarlos,8oz,254,7.8,14.8,503.1,34.3,10.4
1895,VegFarfalleMediterranean,8oz,428,29.8,0,642.3,34,3.9
1896,BeanQuesadilla,1each,448,20,27.5,707.9,51.8,16
1897,SeitanPitaRollup,1each,368,8.5,6.5,725.9,55.9,18.3
1898,TofuMushroomSoup,71/4oz,95,2,0,423,15.2,4.7
